"SpaceName","PbaName"
ad-00000015,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:425ad1ec-bf27-3c77-98ed-4d21d2c11511
ad-00000004,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:14024a59-e32f-3f5d-bdd3-0617fca1c307
ad-00000001,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:02234212-a4fa-3faa-991f-099bc0d0254c
ad-00000009,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:de0966c2-0ecd-3491-ad33-5181c3d21c16
ad-00000024,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:f940c857-8f6c-3d02-bc9e-028e8494e510
ad-00000010,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7611784f-ac9f-3bc7-a432-2932bd62aa1e
ad-00000019,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:a2b17d37-e3c9-3f0f-97a1-5d4584a4eec5
ad-00000021,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:29a17c82-e6df-3ddf-8f93-52e7e97480aa
ad-00000013,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7a8583e1-3c09-3695-8ca3-33832a0a35a5
ad-00000010,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:e1842729-0da4-3e30-8d78-401dea4d3971
ad-00000013,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:d27026ef-b489-33be-8f8a-64f058815256
