SpaceName,PbaName
dev2-ad00000770,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:783f9706-c4e4-3f6c-ba44-5a618440b175
dev2-ad00000877,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:bccfd0c7-e4e5-3bc8-a6c7-9c001c97a50e
dev2-ad00000763,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b8ba2c18-e557-30ed-9a7c-133e510e068c
dev2-ad00000991,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0b91a862-c0b0-35ab-a444-0ad3b26cbd96
dev2-ad00000776,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:d832f29d-c063-3394-83bf-6082b5a0e485
dev2-ad00000978,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:75dd67dc-a92a-3221-a785-1b70f6bd6807
dev2-ad00000744,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:4dcb4f77-9f8f-363c-82e1-594325af0a0f
dev2-ad00000773,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:bee9fc6a-97db-3e3c-8286-96ea89e1fc48
dev2-ad00000767,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:996234f1-cddf-3a35-b6d1-88a1950abdb1
dev2-ad00000976,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:6118e51c-454e-3954-93cb-5ca6956dc80e
dev2-ad00000698,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:f651e29e-1b6a-3e0c-af60-f5a629c0c80d
dev2-ad00000821,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b1b56538-7ff5-31e0-a5bc-52ffa096df63
dev2-ad00000996,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:fa9c4bb5-f6d8-3d6e-9822-66b0621c1aee
dev2-ad00000751,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:b245bc95-270d-3815-a5ea-b928fe2d8dcf
dev2-ad00000759,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:ef91e83f-4825-3ad3-88f6-e0e97c397a40
dev2-ad00000186,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:66df6c90-94f1-39ff-874c-cffa0e47c60d
dev2-ad00000975,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:c24b0e31-1870-3078-a8e5-519c8ab30597
dev2-ad00000774,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0b4e36a7-ae18-387a-b880-05c98a9e4873
dev2-ad00000973,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:2b48bdc0-e5c6-34ee-994c-e00b27786c30
dev2-ad00000992,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:0d719fd1-e7e2-3598-acc7-8e79c2dd90cb
dev2-ad00000672,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:5d48d258-a5a6-3209-893f-b6539192f546
dev2-ad00000993,vrn/org:5a34b3dd-29d7-4890-9653-1706cd3b5293/provider:Hub/PotentialBusinessApplication:7e70df96-e2eb-38c0-ae9a-a0e4b5279c98
